Id	Lemma / verb	ف ع ل root  ماده 	و ز ن	Pattern  Name (for sorting similar patterns)	Pattern / Weight / Measure	Buckwalter (lemmas) , basic translation (verbal data) (click to: 1. study this entry further 2. study roots also + remaining patterns from same root 3. Post correction messages on corpus messageboard)	frequency	Part-of-speech (for lemmas)	ل	ل	ل	ع	ف	
4207	نَادِي	ن د ي	فَاعِل	vb.I.ptrn.ap.N	faa'il	naAdiy	2	Noun			ي	د	ن	
4208	مُنَاد	ن د ي	مُفَاعِل	vb.III.ap	mufaa'il	munaAd	1	Noun			ي	د	ن	
4209	مُنَادِي	ن د ي	مُفَاعِل	vb.III.ap	mufaa'il	munaAdiy	1	Noun			ي	د	ن	
4210	تَّنَاد	ن د ي	تَفَاعُل	vb.VI.vn	tafaa'ul	t~anaAd	1	Noun			ي	د	ن	
4211	نَادَىٰ	ن د ي		III		to call	44				ي	د	ن	
4212	تَنَادَ	ن د ي		VI		to call	1				ي	د	ن	
4213	نَذِير	ن ذ ر	فَعِيل	N13.1	fa'eel	na*iyr	58	Noun			ر	ذ	ن	
4214	نَّذْر	ن ذ ر	فَعْل	N21.1	fa'l	n~a*or	2	Noun			ر	ذ	ن	
4215	نُذُور	ن ذ ر	(فَعْل) فُعُول	N21.1z.pl	fu'ool pl of fa'l	nu*uwr	1	Noun			ر	ذ	ن	
4216	نُذْر	ن ذ ر	فُعْل	N22.1	fu'l	nu*or	1	Noun			ر	ذ	ن	
4217	مُنذِر	ن ذ ر	مُفْعِل	vb.IV.ap	muf'il	mun*ir	15	Noun			ر	ذ	ن	
4218	مُنذَرِين	ن ذ ر	(مُفْعَل) مُفْعَلِين	vb.IV.pp	muf'al een.pl	mun*ariyn	5	Noun			ر	ذ	ن	
4219	نَذَرْ	ن ذ ر		I		to vow, to worn	4				ر	ذ	ن	
4220	أَنذَرَ	ن ذ ر		IV		to warn	44				ر	ذ	ن	
4221	نَزَّاعَة	ن ز ع	فَعَّالَة	N01.1t	fa''aal at	naz~aAEap	1	Noun			ع	ز	ن	
4222	نَّٰزِعَٰت	ن ز ع	(فَاعِلَة) فَاعِلَات	vb.I.ap t	faa'il aat.pl	n~a`ziEa`t	1	Noun			ع	ز	ن	
4223	نَزَعَ	ن ز ع		I		to take way, to remove, to withdraw	10				ع	ز	ن	
4224	يُنَٰزِعُ	ن ز ع		III		to dispute	1				ع	ز	ن	
4225	تَنَٰزَعُ	ن ز ع		VI		to dispute, to disagree	7				ع	ز	ن	
4226	نَزْغ	ن ز غ	فَعْل	N21.1	fa'l	nazog	2	Noun			غ	ز	ن	
4227	نَّزَغَ	ن ز غ		I		to cause discord	4				غ	ز	ن	
4228	يُنزَفُ	ن ز ف		IV		to be intoxicated	2				ف	ز	ن	
4229	مَنَازِل	ن ز ل	(مَفْعِل) مَفَاعِل	N19.2z.pl	mafaa'il pl of maf'il	manaAzil	2	Noun			ل	ز	ن	
4230	نَزْلَة	ن ز ل	فَعْلَة	N21.1t	fa'l at	nazolap	1	Noun			ل	ز	ن	
4231	نُزُل	ن ز ل	فُعُل	N22.4	fu'ul	nuzul	8	Noun			ل	ز	ن	
4232	مُنَزِّل	ن ز ل	مُفَعِّل	vb.II.ap	mufa''il	munaz~il	1	Noun			ل	ز	ن	
4233	مُنَزَّل	ن ز ل	مُفَعَّل	vb.II.pp	mufa''al	munaz~al	1	Noun			ل	ز	ن	
4234	تَنزِيل	ن ز ل	تَفْعِيل	vb.II.vn	taf'eel	tanziyl	15	Noun			ل	ز	ن	
4235	مُنزِلِين	ن ز ل	(مُفْعِل) مُفْعِلِين	vb.IV.ap	muf'il een.pl	munziliyn	5	Noun			ل	ز	ن	
4236	مُنزَل	ن ز ل	مُفْعَل	vb.IV.pp & vb.IV.ptrn.pp.N. plc	muf'al	munzal	2	Noun			ل	ز	ن	
4237	نَزَلَ	ن ز ل		I		to descend, to bring down	6				ل	ز	ن	
4238	نَزَّلَ	ن ز ل		II		to send down, to reveal	62				ل	ز	ن	
4239	أَنزَلَ	ن ز ل		IV		to send down, to reveal	183				ل	ز	ن	
4240	تَنَزَّلَتْ	ن ز ل		V		to descend, to bring down	7				ل	ز	ن	
4241	نَّسِىٓء	ن س ا	فَعِيل	N13.1	fa'eel	n~asiY^'	1	Noun			ا	س	ن	
4242	مِنسَأَت	ن س ا	مِفْعَلَة	N18.1t n.instr	mif'al at	minsa>at	1	Noun			ا	س	ن	
4243	نَسَب	ن س ب	فَعَل	N21.4	fa'al	nasab	3	Noun			ب	س	ن	
4244	نُسْخَت	ن س خ	فُعْلَة	N22.1t	fu'l at	nusoxat	1	Noun			خ	س	ن	
4245	يَنسَخُ	ن س خ		I		to abolish, to abrogate	2				خ	س	ن	
4246	نَسْتَنسِخُ	ن س خ		X		to transcribe	1				خ	س	ن	
4247	نَسْر	ن س ر	فَعْل	N21.1 proper name	fa'l	nasor	1	Proper noun			ر	س	ن	
4248	نَسْف	ن س ف	فَعْل	N21.1	fa'l	nasof	2	Noun			ف	س	ن	
4249	نُسِفَتْ	ن س ف		I		to scatter, to blow away, to blast	3				ف	س	ن	
4250	مَنسَك	ن س ك	مَفْعَل	N19.1	maf'al	mansak	4	Noun			ك	س	ن	
4251	نُسُك	ن س ك	فُعُل	N22.4	fu'ul	nusuk	2	Noun			ك	س	ن	
4252	نَاسِكُو	ن س ك	(فَاعِل) فَاعِلُو	vb.I.ap	faa'il oo.pl	naAsikuw	1	Noun			ك	س	ن	
4253	نَسْل	ن س ل	فَعْل	N21.1	fa'l	nasol	2	Noun			ل	س	ن	
4254	يَنسِلُ	ن س ل		I		to descend, to hasten	2				ل	س	ن	
4255	نِسَآء	ن س و	فِعَال	N11.3z.cl	fi'aal	nisaA^'	59	Noun			و	س	ن	
4256	نَسِيّ	ن س ي	فَعِيل	N13.1	fa'eel	nasiy~	1	Noun			ي	س	ن	
4257	نَسْي	ن س ي	فَعْل	N21.1	fa'l	nasoy	1	Noun			ي	س	ن	
4258	مَّنسِيّ	ن س ي	مَفْعِيل	vb.I.pp	maf'eel	m~ansiy~	1	Noun			ي	س	ن	
4259	نَسِىَ	ن س ي		I		to forget	35				ي	س	ن	
4260	أَنسَىٰ	ن س ي		IV		to make forget	7				ي	س	ن	
4261	نَّشْأَة	ن ش ا	فَعْلَة	N21.1t	fa'l at	n~a$o>ap	3	Noun			ا	ش	ن	
4262	نَاشِئَة	ن ش ا	فَاعِلَة	vb.I.ap t	faa'il at	naA$i}ap	1	Noun			ا	ش	ن	
4263	مُنشِـُٔون	ن ش ا	(مُفْعِل) مُفْعِلُون	vb.IV.ap	muf'il oon.pl	mun$i_#uwn	1	Noun			ا	ش	ن	
4264	مُنشَـَٔات	ن ش ا	(مُفْعَلَة) مُفْعَلَات	vb.IV.pp t	muf'al aat.pl	mun$a_#aAt	1	Adjective			ا	ش	ن	
4265	إِنشَآء	ن ش ا	إِفْعَال	vb.IV.vn	if'aal	<in$aA^'	1	Noun			ا	ش	ن	
4266	يُنَشَّؤُا۟	ن ش ا		II		to bring up	1				ا	ش	ن	
4267	أَنشَأَ	ن ش ا		IV		to produce, to raise	20				ا	ش	ن	
4268	نُشُور	ن ش ر	فُعُول	N12.2	fu'ool	nu$uwr	5	Noun			ر	ش	ن	
4269	نَشْر	ن ش ر	فَعْل	N21.1	fa'l	na$or	1	Noun			ر	ش	ن	
4270	نَّٰشِرَٰت	ن ش ر	(فَاعِلَة) فَاعِلَات	vb.I.ap t	faa'il aat.pl	n~a`$ira`t	1	Noun			ر	ش	ن	
4271	مَنشُور	ن ش ر	مَفْعُول	vb.I.pp	maf'ool	man$uwr	2	Noun			ر	ش	ن	
4272	مُّنَشَّرَة	ن ش ر	مُفَعَّلَة	vb.II.pp t	mufa''al at	m~una$~arap	1	Adjective			ر	ش	ن	
4273	مُنشَرِين	ن ش ر	(مُفْعَل) مُفْعَلِين	vb.IV.pp	muf'al een.pl	mun$ariyn	1	Noun			ر	ش	ن	
4274	مُّنتَشِر	ن ش ر	مُفْتَعِل	vb.VIII.ap	mufta'il	m~unta$ir	1	Adjective			ر	ش	ن	
4275	نُشِرَتْ	ن ش ر		I		to spread, to lay open	3				ر	ش	ن	
4276	أَنشَرَ	ن ش ر		IV		to raise, to revive, to resurrect	3				ر	ش	ن	
4277	تَنتَشِرُ	ن ش ر		VIII		to disperse	3				ر	ش	ن	
4278	نُشُوز	ن ش ز	فُعُول	N12.2	fu'ool	nu$uwz	2	Noun			ز	ش	ن	
4279	ٱنشُزُ	ن ش ز		I		to rise	2				ز	ش	ن	
4280	نُنشِزُ	ن ش ز		IV		to raise	1				ز	ش	ن	
4281	نَشْط	ن ش ط	فَعْل	N21.1	fa'l	na$oT	1	Noun			ط	ش	ن	
4282	نَّٰشِطَٰت	ن ش ط	(فَاعِلَة) فَاعِلَات	vb.I.ap t	faa'il aat.pl	n~a`$iTa`t	1	Noun			ط	ش	ن	
4283	نَصِيب	ن ص ب	فَعِيل	N13.1	fa'eel	naSiyb	21	Noun			ب	ص	ن	
4284	نَصَب	ن ص ب	فَعَل	N21.4	fa'al	naSab	4	Noun			ب	ص	ن	
4285	نُصْب	ن ص ب	فُعْل	N22.1	fu'l	nuSob	1	Noun			ب	ص	ن	
4286	نُصُب	ن ص ب	فُعُل	N22.4	fu'ul	nuSub	3	Noun			ب	ص	ن	
4287	نَّاصِبَة	ن ص ب	فَاعِلَة	vb.I.ap t	faa'il at	n~aASibap	1	Adjective			ب	ص	ن	
4288	نُصِبَتْ	ن ص ب		I		to be fixed, to labour	2				ب	ص	ن	
4289	أَنصِتُ	ن ص ت		IV		to listen, to play attention	2				ت	ص	ن	
4290	نَّصُوح	ن ص ح	فَعُول	N12.1	fa'ool	n~aSuwH	1	Adjective			ح	ص	ن	
4291	نُصْح	ن ص ح	فُعْل	N22.1	fu'l	nuSoH	1	Noun			ح	ص	ن	
4292	نَاصِح	ن ص ح	فَاعِل	vb.I.ap	faa'il	naASiH	6	Noun			ح	ص	ن	
4293	نَصَحُ	ن ص ح		I		to advise	5				ح	ص	ن	
4294	نَصْرَانِيّ	ن ص ر	 فَعْلَانِيّ	N03.1y	fa'laan iyy (N03.1y is written with y at the end due to additional iyy at the end of the word. Same method is applied at forms containing iyy at the end to sort these together.) (relative adjectives usually have iyy at the end) 	naSoraAniy~	15	Proper noun			ر	ص	ن	
4295	نَصِير	ن ص ر	فَعِيل	N13.1	fa'eel	naSiyr	35	Noun (34), Adjective (1)			ر	ص	ن	
4296	نَصْر	ن ص ر	فَعْل	N21.1	fa'l	naSor	22	Noun			ر	ص	ن	
4297	نَاصِر	ن ص ر	فَاعِل	vb.I.ap	faa'il	naASir	11	Noun			ر	ص	ن	
4298	مَنصُور	ن ص ر	مَفْعُول	vb.I.pp	maf'ool	manSuwr	2	Noun			ر	ص	ن	
4299	مُّنتَصِر	ن ص ر	مُفْتَعِل	vb.VIII.ap	mufta'il	m~untaSir	4	Noun			ر	ص	ن	
4300	نَصَرَ	ن ص ر		I		to help	59				ر	ص	ن	
4301	تَنَاصَرُ	ن ص ر		VI		to help	1				ر	ص	ن	
4302	ٱنتَصَرَ	ن ص ر		VIII		to defend, to help	7				ر	ص	ن	
4303	ٱسْتَنصَرَ	ن ص ر		X		to seek help	2				ر	ص	ن	
4304	نِصْف	ن ص ف	فِعْل	N23.1	fi'l	niSof	7	Noun (6), Time adverb (1)			ف	ص	ن	
4305	نَّوَٰصِى	ن ص ي	 (فَاعِلَة)  فَوَاعِل	vb.I.ptrn.ap.N z.pl t.s	fawaa'il pl of faa'il at	n~awa`SiY	1	Noun			ي	ص	ن	
4306	نَاصِيَة	ن ص ي	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	naASiyap	3	Noun			ي	ص	ن	
4307	نَضِجَتْ	ن ض ج		I		to roast	1				ج	ض	ن	
4308	نَضَّاخَتَان	ن ض خ	 (فَعَّالَة) فَعَّالَتَان	N01.1t	fa''aal at aan.dl (dl for dual)	naD~aAxataAn	1	Adjective			خ	ض	ن	
4309	نَّضِيد	ن ض د	فَعِيل	N13.1	fa'eel	n~aDiyd	1	Adjective			د	ض	ن	
4310	مَّنضُود	ن ض د	مَفْعُول	vb.I.pp	maf'ool	m~anDuwd	2	Noun (1), Adjective (1)			د	ض	ن	
4311	نَضْرَة	ن ض ر	فَعْلَة	N21.1t	fa'l at	naDorap	2	Noun			ر	ض	ن	
4312	نَّاضِرَة	ن ض ر	فَاعِلَة	vb.I.ap t	faa'il at	n~aADirap	1	Noun			ر	ض	ن	
4313	نَّطِيحَة	ن ط ح	فَعِيلَة	N13.1t	fa'eel at	n~aTiyHap	1	Noun			ح	ط	ن	
4314	نُّطْفَة	ن ط ف	فُعْلَة	N22.1t	fu'l at	n~uTofap	12	Noun			ف	ط	ن	
4315	مَنطِق	ن ط ق	مَفْعِل	N19.2	maf'il	manTiq	1	Noun			ق	ط	ن	
4316	يَنطِقُ	ن ط ق		I		to speak	9				ق	ط	ن	
4317	أَنطَقَ	ن ط ق		IV		to make speak	2				ق	ط	ن	
4318	نَظْرَة	ن ظ ر	فَعْلَة	N21.1t	fa'l at	naZorap	1	Noun			ر	ظ	ن	
4319	نَظَر	ن ظ ر	فَعَل	N21.4	fa'al	naZar	1	Noun			ر	ظ	ن	
4320	نَظِرَة	ن ظ ر	فَعِلَة	N21.6t	fa'il at	naZirap	1	Noun			ر	ظ	ن	
4321	نَٰظِرِين	ن ظ ر	(فَاعِل) فَاعِلِين	vb.I.ap	faa'il een.pl	na`Ziriyn	5	Noun			ر	ظ	ن	
4322	نَاظِرَة	ن ظ ر	فَاعِلَة	vb.I.ap t	faa'il at	naAZirap	2	Noun			ر	ظ	ن	
4323	مُنظَرُون	ن ظ ر	(مُفْعَل) مُفْعَلُون	vb.IV.pp	muf'al oon.pl	munZaruwn	6	Noun			ر	ظ	ن	
4324	مُنتَظِرُون	ن ظ ر	(مُفْتَعِل) مُفْتَعِلُون	vb.VIII.ap	muf'ta'il oon.pl	muntaZiruwn	6	Noun			ر	ظ	ن	
4325	نَّظَرَ	ن ظ ر		I		to look, to see	87				ر	ظ	ن	
4326	يُنظَرُ	ن ظ ر		IV		to give respite	12				ر	ظ	ن	
4327	يَنتَظِرُ	ن ظ ر		VIII		to wait	8				ر	ظ	ن	
4328	نَعْجَة	ن ع ج	فَعْلَة	N21.1t.f	fa'l at	naEojap	4	Noun			ج	ع	ن	
4329	نُّعَاس	ن ع س	فُعَال	N11.2	fu'aal	n~uEaAs	2	Noun			س	ع	ن	
4330	يَنْعِقُ	ن ع ق		I		to shout	1				ق	ع	ن	
4331	نَعْلَي	ن ع ل	(فَعْل) فَعْلَيْ	N21.1	fa'l ae.dl	naEolay	1	Noun			ل	ع	ن	
4332	نَعْمَآء	ن ع م	فَعْلَآء	N04.1	fa'laaa.	naEomaA^'	1	Noun			م	ع	ن	
4333	نَعِيم	ن ع م	فَعِيل	N13.1	fa'eel	naEiym	17	Noun			م	ع	ن	
4334	نَّعْمَة	ن ع م	فَعْلَة	N21.1t	fa'l at	n~aEomap	2	Noun			م	ع	ن	
4335	نَّعَم	ن ع م	فَعَل	N21.4	fa'al	n~aEam	33	Noun			م	ع	ن	
4336	نَعَم	ن ع م	فَعَل	N21.4	fa'al	naEam	4	Answer particle			م	ع	ن	
4337	نِعْمَة	ن ع م	فِعْلَة	N23.1t	fi'l at	niEomap	50	Noun			م	ع	ن	
4338	نَّاعِمَة	ن ع م	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	n~aAEimap	1	Noun			م	ع	ن	
4339	نِعْمَ	ن ع م	فِعْلَ	vb.praise	fi'la (verb of praise from the category of verbs of praise and blame)	to be excellent	18				م	ع	ن	
4340	نَعَّمَ	ن ع م		II		to favor	1				م	ع	ن	
4341	أَنْعَمَ	ن ع م		IV		to bestow favor	17				م	ع	ن	
4342	يُنْغِضُ	ن غ ض		IV		to shake	1				ض	غ	ن	
4343	نَّفَّٰثَٰت	ن ف ث	 (فَعَّالَة) فَعَّالَات	N01.1t.f	fa''aal aat.pl	n~af~a`va`t	1	Noun			ث	ف	ن	
4344	نَفْحَة	ن ف ح	فَعْلَة	N21.1t	fa'l at	nafoHap	1	Noun			ح	ف	ن	
4345	نَفْخَة	ن ف خ	فَعْلَة	N21.1t.n.un	fa'l at	nafoxap	1	Noun			خ	ف	ن	
4346	نَفَخَ	ن ف خ		I		to blow, to breathe	19				خ	ف	ن	
4347	نَّفَاد	ن ف د	فَعَال	N11.1	fa'aal	n~afaAd	1	Noun			د	ف	ن	
4348	نَفِدَ	ن ف د		I		to be exhausted	4				د	ف	ن	
4349	تَنفُذُ	ن ف ذ		I		to pass	3				ذ	ف	ن	
4350	نُفُور	ن ف ر	فُعُول	N12.2	fu'ool	nufuwr	5	Noun			ر	ف	ن	
4351	نَفِير	ن ف ر	فَعِيل	N13.1	fa'eel	nafiyr	1	Noun			ر	ف	ن	
4352	نَفَر	ن ف ر	فَعَل	N21.4z.cl	fa'al	nafar	3	Noun			ر	ف	ن	
4353	مُّسْتَنفِرَة	ن ف ر	مُسْتَفْعِلَة	vb.X.ap t	mustaf'il at	m~usotanfirap	1	Adjective			ر	ف	ن	
4354	نَفَرَ	ن ف ر		I		to go forth	8				ر	ف	ن	
4355	نَفْس	ن ف س	فَعْل	N21.1	fa'l	nafos	295	Noun			س	ف	ن	
4356	مُتَنَٰفِسُون	ن ف س	(مُتَفَاعِل) مُتَفَاعِلُون	vb.VI.ap	mutafaa'il oon.pl	mutana`fisuwn	1	Noun			س	ف	ن	
4357	تَنَفَّسَ	ن ف س		V		to breathe	1				س	ف	ن	
4358	يَتَنَافَسِ	ن ف س		VI		to aspire	1				س	ف	ن	
4359	مَنفُوش	ن ف ش	مَفْعُول	vb.I.pp	maf'ool	manfuw$	1	Adjective			ش	ف	ن	
4360	نَفَشَتْ	ن ف ش		I		to pasture	1				ش	ف	ن	
4361	مَنَٰفِع	ن ف ع	(مَفْعَلَة) مَفَاعِل	N19.1z.pl t.s	mafaa'il pl of maf'al at	mana`fiE	8	Noun			ع	ف	ن	
4362	نَفْع	ن ف ع	فَعْل	N21.1	fa'l	nafoE	11	Noun			ع	ف	ن	
4363	نَفَعَ	ن ف ع		I		to profit, to benifit	31				ع	ف	ن	
4364	نِفَاق	ن ف ق	فِعَال	N11.3 vb.III.vn	fi'aal	nifaAq	3	Noun			ق	ف	ن	
4365	نَفَق	ن ف ق	فَعَل	N21.4	fa'al	nafaq	1	Noun			ق	ف	ن	
4366	نَفَقَة	ن ف ق	فَعَلَة	N21.4t	fa'al at	nafaqap	2	Noun			ق	ف	ن	
4367	نَفَقَٰت	ن ف ق	(فَعَلَة) فَعَلَات	N21.4t	fa'al aat.pl	nafaqa`t	1	Noun			ق	ف	ن	
4368	مُنَٰفِقُون	ن ف ق	(مُفَاعِل) مُفَاعِلُون 	vb.III.ap	mufaa'il oon.pl	muna`fiquwn	27	Noun			ق	ف	ن	
4369	مُنَٰفِقَٰت	ن ف ق	(مُفَاعِلَة) مُفَاعِلَات	vb.III.ap t.f	mufaa'il aat.pl	muna`fiqa`t	5	Noun			ق	ف	ن	
4370	مُنفِقِين	ن ف ق	(مُفْعِل) مُفْعِلِين	vb.IV.ap	muf'il een.pl	munfiqiyn	1	Noun			ق	ف	ن	
4371	إِنفَاق	ن ف ق	إِفْعَال	vb.IV.vn	if'aal	<infaAq	1	Noun			ق	ف	ن	
4372	نَافَقُ	ن ف ق		III		to be hypocritical	2				ق	ف	ن	
4373	أَنفَقَ	ن ف ق		IV		to spend	68				ق	ف	ن	
4374	أَنفَال	ن ف ل	(فَعْل) أَفْعَال	N21.1z.pl	af'aal pl of fa'l	>anfaAl	2	Noun			ل	ف	ن	
4375	نَافِلَة	ن ف ل	فَاعِلَة	vb.I.ptrn.ap.N.t	faa'il at	naAfilap	2	Noun			ل	ف	ن	
4376	يُنفَ	ن ف ي		I		to exile	1				ي	ف	ن	
4377	نَقِيب	ن ق ب	فَعِيل	N13.1	fa'eel	naqiyb	1	Noun			ب	ق	ن	
4378	نَقْب	ن ق ب	فَعْل	N21.1	fa'l	naqob	1	Noun			ب	ق	ن	
4379	نَقَّبُ	ن ق ب		II		to explore	1				ب	ق	ن	
4380	أَنقَذَ	ن ق ذ		IV		to save	4				ذ	ق	ن	
4381	يَسْتَنقِذُ	ن ق ذ		X		to take back	1				ذ	ق	ن	
4382	نَّاقُور	ن ق ر	فَاعُول 	N12.3	faa'ool	n~aAquwr	1	Noun			ر	ق	ن	
4383	نَقِير	ن ق ر	فَعِيل	N13.1	fa'eel	naqiyr	2	Noun			ر	ق	ن	
4384	نُقِرَ	ن ق ر		I		to blow	1				ر	ق	ن	
4385	نَقْص	ن ق ص	فَعْل	N21.1	fa'l	naqoS	2	Noun			ص	ق	ن	
4386	مَنقُوص	ن ق ص	مَفْعُول	vb.I.pp	maf'ool	manquwS	1	Noun			ص	ق	ن	
4387	يُنقَصُ	ن ق ص		I		to decrease, to reduce, to lessen	7				ص	ق	ن	
4388	نَقْض	ن ق ض	فَعْل	N21.1	fa'l	naqoD	2	Noun			ض	ق	ن	
4389	نَقَضَتْ	ن ق ض		I		to break	6				ض	ق	ن	
4390	أَنقَضَ	ن ق ض		IV		to weigh	1				ض	ق	ن	
4391	نَقْع	ن ق ع	فَعْل	N21.1	fa'l	naqoE	1	Noun			ع	ق	ن	
4392	مُنتَقِمُون	ن ق م	(مُفْتَعِل) مُفْتَعِلُون	vb.VIII.ap	mufta'il oon.pl	muntaqimuwn	3	Noun			م	ق	ن	
4393	ٱنتِقَام	ن ق م	اِفْتِعَال	vb.VIII.vn	ifti'aal	{ntiqaAm	4	Noun			م	ق	ن	
4394	نَقَمُ	ن ق م		I		to resent, to take revenge	4				م	ق	ن	
4395	ٱنتَقَمْ	ن ق م		VIII		to take retribution	6				م	ق	ن	
4396	مَنَاكِب	ن ك ب	(مَفْعَل) مَفَاعِل	N19.1z.pl	mafaa'il pl of maf'al	manaAkib	1	Noun			ب	ك	ن	
4397	نَٰكِبُون	ن ك ب	(فَاعِل) فَاعِلُون	vb.I.ap	faa'il oon.pl	na`kibuwn	1	Noun			ب	ك	ن	
4398	أَنكَٰث	ن ك ث	(فِعْل)أَفْعَال	N23.1z.pl	af'aal pl of fi'l	>anka`v	1	Noun			ث	ك	ن	
4399	نَّكَثَ	ن ك ث		I		to break (oath)	6				ث	ك	ن	
4400	نِكَاح	ن ك ح	فِعَال	N11.3	fi'aal	nikaAH	5	Noun			ح	ك	ن	
4401	نَكَحَ	ن ك ح		I		to marry	14				ح	ك	ن	
4402	تُنكِحُ	ن ك ح		IV		to marry	3				ح	ك	ن	
4403	يَسْتَنكِحَ	ن ك ح		X		to marry	1				ح	ك	ن	
4404	نَكِد	ن ك د	فَعِل	N21.6	fa'il	nakid	1	Noun			د	ك	ن	
4405	أَنكَر	ن ك ر	أَفْعَل	N06.1 comp/supr	af'al	>ankar	1	Noun			ر	ك	ن	
4406	نَكِير	ن ك ر	فَعِيل	N13.1	fa'eel	nakiyr	4	Noun			ر	ك	ن	
4407	نَّكِير	ن ك ر	فَعِيل	N13.1	fa'eel	n~akiyr	1	Noun			ر	ك	ن	
4408	نُّكْر	ن ك ر	فُعْل	N22.1	fu'l	n~ukor	3	Adjective			ر	ك	ن	
4409	نُّكُر	ن ك ر	فُعُل	N22.4	fu'ul	n~ukur	1	Adjective			ر	ك	ن	
4410	مُنكِرُون	ن ك ر	(مُفْعِل) مُفْعِلُون	vb.IV.ap	muf'il oon.pl	munkiruwn	3	Noun			ر	ك	ن	
4411	مُّنكِرَة	ن ك ر	مُفْعِلَة	vb.IV.ap t	muf'il at	m~unkirap	1	Noun			ر	ك	ن	
4412	مُنكَر	ن ك ر	مُفْعَل	vb.IV.pp	muf'al	munkar	18	Noun			ر	ك	ن	
4413	نَكِرَ	ن ك ر		I		to feel unfamiliar	1				ر	ك	ن	
4414	نَكِّرُ	ن ك ر		II		to disguise	1				ر	ك	ن	
4415	يُنكِرُ	ن ك ر		IV		to deny	3				ر	ك	ن	
4416	نَاكِسُوا	ن ك س	(فَاعِل) فَاعِلُو	vb.I.ap	faa'il oo.pl	naAkisuwA	1	Noun			س	ك	ن	
4417	نُكِسُ	ن ك س		I		to turn	1				س	ك	ن	
4418	نُنَكِّسْ	ن ك س		II		to reverse	1				س	ك	ن	
4419	نَكَصَ	ن ك ص		I		to turn	2				ص	ك	ن	
4420	ٱسْتَنكَفُ	ن ك ف		X		to disdain	3				ف	ك	ن	
4421	نَكَٰل	ن ك ل	فَعَال	N11.1	fa'aal	naka`l	3	Noun			ل	ك	ن	
4422	أَنكَال	ن ك ل	(فِعْل)أَفْعَال	N23.1z.pl	af'aal pl of fi'l	>ankaAl	1	Noun			ل	ك	ن	
4423	تَنكِيل	ن ك ل	تَفْعِيل	vb.II.vn	taf'eel	tankiyl	1	Noun			ل	ك	ن	
4424	نَمَارِق	ن م ر ق	 فُرْعُلَة / فِرْعِلَة ( فَرَاعِل)	pl of N28.3,  N28.2 etc. t.s	faraa'il pl of fur'ul at, fir'il at etc.	namaAriq	1	Noun		ق	ر	م	ن	
4425	أَنَامِل	ن م ل	 (أَفْعَلَة) أَفَاعِل	N06.1z.pl t.s	afaa'il pl of af'al at (t.s because ta is in singular pattern but not in plural) 	>anaAmil	1	Noun			ل	م	ن	
4426	نَمْلَة	ن م ل	فَعْلَة	N21.1t	fa'l at	namolap	1	Noun			ل	م	ن	
4427	نَّمْل	ن م ل	فَعْل	N21.1z.cl	fa'l	n~amol	2	Noun			ل	م	ن	
4428	نَمِيم	ن م م	فَعِيل	N13.1	fa'eel	namiym	1	Noun			م	م	ن	
4429	مِنْهَاج	ن ه ج	مِفْعَال	N18.2	mif'aal	minohaAj	1	Noun			ج	ه	ن	
4430	نَهَار	ن ه ر	فَعَال	N11.1	fa'aal	nahaAr	57	Noun (56), Time adverb (1)			ر	ه	ن	
4431	نَهَر	ن ه ر	فَعَل	N21.4	fa'al	nahar	54	Noun			ر	ه	ن	
4432	تَنْهَرْ	ن ه ر		I		to repel	2				ر	ه	ن	
4433	نُّهَىٰ	ن ه ي	فُعَل	N22.5	fu'al	n~uhaY`	2	Noun			ي	ه	ن	
4434	نَّاهُون	ن ه ي	(فَاعِل) فَاعِلُون	vb.I.ap	faa'il oon.pl	n~aAhuwn	1	Noun			ي	ه	ن	
4435	مُّنتَهُون	ن ه ي	(مُفْتَعِل) مُفْتَعِلُون	vb.VIII.ap	mufta'il oon.pl	m~untahuwn	1	Noun			ي	ه	ن	
4436	مُنتَهَىٰ	ن ه ي	مُفْتَعَل	vb.VIII.ptrn.pp.N & vb.VIII.ptrn.pp.N. plc	mufta'al	muntahaY`	3	Noun			ي	ه	ن	
4437	نَهَىٰ	ن ه ي		I		to forbid	32				ي	ه	ن	
4438	يَتَنَاهَ	ن ه ي		VI		to forbid	1				ي	ه	ن	
4439	ٱنتَهَىٰ	ن ه ي		VIII		to refrain, to cease, to desist	16				ي	ه	ن	
4440	تَنُوٓأُ	ن و ا		I		to burden	1				ا	و	ن	
4441	مُّنِيب	ن و ب	مُفْعِل	vb.IV.ap	muf'il	m~uniyb	7	Noun (6), Adjective (1)			ب	و	ن	
4442	أَنَابَ	ن و ب		IV		to turn	11				ب	و	ن	
4443	نَار	ن و ر	فَال	N21.3	faal (with waw as the 2nd letter of root, following 4 options which may be converted to faal: mostly fa'al , sometimes fa'l and possibly even fa'ul and fa'il.)	naAr	145	Noun			ر	و	ن	
4444	نُور	ن و ر	فُول	N22.3	fuul	nuwr	43	Noun			ر	و	ن	
4445	مُّنِير	ن و ر	مُفْعِل	vb.IV.ap	muf'il	m~uniyr	6	Noun (5), Adjective (1)			ر	و	ن	
